fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-01-01,Medellín,1,0605,historico,128650442.0
2024-01-01,Medellín,1,07,historico,931306057.62
2024-01-01,Medellín,1,1301,historico,32012498.0
2024-01-01,Medellín,1,14,historico,32205660.0
2024-01-01,Medellín,1,15,historico,271473319.3
2024-01-01,Medellín,1,1725,historico,179094672.0
2024-01-01,Medellín,1,25,historico,403706716.32
2024-01-01,Medellín,1,76,historico,143182394.0
2024-01-01,Medellín,1,80,historico,235697107.0
2024-01-01,Medellín,1,E,historico,532115246.38
2024-01-01,Bogotá,2,0605,historico,221481496.24
2024-01-01,Bogotá,2,07,historico,1445097994.26
2024-01-01,Bogotá,2,1301,historico,95763568.0
2024-01-01,Bogotá,2,14,historico,203716416.0
2024-01-01,Bogotá,2,15,historico,383984909.0
2024-01-01,Bogotá,2,1725,historico,238323179.0
2024-01-01,Bogotá,2,25,historico,707885454.6
2024-01-01,Bogotá,2,76,historico,92341011.0
2024-01-01,Bogotá,2,80,historico,252439281.6
2024-01-01,Bogotá,2,E,historico,295082281.52
2024-01-01,Cali,3,0605,historico,88486257.0
2024-01-01,Cali,3,07,historico,458266662.9
2024-01-01,Cali,3,1301,historico,38234881.0
2024-01-01,Cali,3,14,historico,33232297.0
2024-01-01,Cali,3,15,historico,118041659.0
2024-01-01,Cali,3,1725,historico,90342362.0
2024-01-01,Cali,3,25,historico,232636869.56
2024-01-01,Cali,3,76,historico,75974763.0
2024-01-01,Cali,3,80,historico,222378787.14
2024-01-01,Cali,3,E,historico,322017189.74
2024-01-01,Barranquilla,4,0605,historico,20373799.0
2024-01-01,Barranquilla,4,07,historico,314311404.6
2024-01-01,Barranquilla,4,1301,historico,52107732.2
2024-01-01,Barranquilla,4,14,historico,110148443.4
2024-01-01,Barranquilla,4,15,historico,190269865.8
2024-01-01,Barranquilla,4,1725,historico,58708737.0
2024-01-01,Barranquilla,4,25,historico,323967249.59
2024-01-01,Barranquilla,4,76,historico,32404805.0
2024-01-01,Barranquilla,4,80,historico,230316852.0
2024-01-01,Barranquilla,4,E,historico,364443534.19
2024-01-01,Cartagena,5,0605,historico,38624330.0
2024-01-01,Cartagena,5,07,historico,387859738.0
2024-01-01,Cartagena,5,1301,historico,73603461.04
2024-01-01,Cartagena,5,14,historico,37838200.0
2024-01-01,Cartagena,5,15,historico,95674272.0
2024-01-01,Cartagena,5,1725,historico,60178793.0
2024-01-01,Cartagena,5,25,historico,206776260.0
2024-01-01,Cartagena,5,76,historico,79510167.0
2024-01-01,Cartagena,5,80,historico,110011921.0
2024-01-01,Cartagena,5,E,historico,143551194.84
2024-02-01,Medellín,1,0605,historico,124688864.0
2024-02-01,Medellín,1,07,historico,1222314759.0
2024-02-01,Medellín,1,1301,historico,74408957.0
2024-02-01,Medellín,1,14,historico,153905817.16
2024-02-01,Medellín,1,15,historico,314499491.8
2024-02-01,Medellín,1,1725,historico,222358367.0
2024-02-01,Medellín,1,25,historico,520424752.12
2024-02-01,Medellín,1,76,historico,142239073.0
2024-02-01,Medellín,1,80,historico,340957801.56
2024-02-01,Medellín,1,E,historico,643636160.65
2024-02-01,Bogotá,2,0605,historico,236161742.84
2024-02-01,Bogotá,2,07,historico,1735257254.66
2024-02-01,Bogotá,2,1301,historico,147114322.0
2024-02-01,Bogotá,2,14,historico,193601849.0
2024-02-01,Bogotá,2,15,historico,413956397.2
2024-02-01,Bogotá,2,1725,historico,274402731.0
2024-02-01,Bogotá,2,25,historico,746966598.14
2024-02-01,Bogotá,2,76,historico,156544749.0
2024-02-01,Bogotá,2,80,historico,269654751.39
2024-02-01,Bogotá,2,E,historico,444601213.12
2024-02-01,Cali,3,0605,historico,98602879.0
2024-02-01,Cali,3,07,historico,485022800.5
2024-02-01,Cali,3,1301,historico,119818865.32
2024-02-01,Cali,3,14,historico,90453467.24
2024-02-01,Cali,3,15,historico,153997552.0
2024-02-01,Cali,3,1725,historico,144424134.0
2024-02-01,Cali,3,25,historico,254847814.95
2024-02-01,Cali,3,76,historico,124621789.0
2024-02-01,Cali,3,80,historico,256592755.0
2024-02-01,Cali,3,E,historico,293252652.7
2024-02-01,Barranquilla,4,0605,historico,34752564.0
2024-02-01,Barranquilla,4,07,historico,387548836.0
2024-02-01,Barranquilla,4,1301,historico,81570869.6
2024-02-01,Barranquilla,4,14,historico,63049539.54
2024-02-01,Barranquilla,4,15,historico,299736522.0
2024-02-01,Barranquilla,4,1725,historico,56786944.0
2024-02-01,Barranquilla,4,25,historico,457529832.81
2024-02-01,Barranquilla,4,76,historico,64086855.0
2024-02-01,Barranquilla,4,80,historico,124730305.0
2024-02-01,Barranquilla,4,E,historico,178802338.25
2024-02-01,Cartagena,5,0605,historico,64128840.0
2024-02-01,Cartagena,5,07,historico,520167119.14
2024-02-01,Cartagena,5,1301,historico,187643571.0
2024-02-01,Cartagena,5,14,historico,48690071.0
2024-02-01,Cartagena,5,15,historico,101629999.0
2024-02-01,Cartagena,5,1725,historico,116076951.0
2024-02-01,Cartagena,5,25,historico,249936976.0
2024-02-01,Cartagena,5,76,historico,90539416.4
2024-02-01,Cartagena,5,80,historico,151366171.0
2024-02-01,Cartagena,5,E,historico,119586042.06
2024-03-01,Medellín,1,0605,historico,121536792.0
2024-03-01,Medellín,1,07,historico,1041732315.53
2024-03-01,Medellín,1,1301,historico,520113084.0
2024-03-01,Medellín,1,14,historico,40551093.0
2024-03-01,Medellín,1,15,historico,313861773.0
2024-03-01,Medellín,1,1725,historico,140178418.0
2024-03-01,Medellín,1,25,historico,437379894.08
2024-03-01,Medellín,1,76,historico,126111997.0
2024-03-01,Medellín,1,80,historico,209307128.0
2024-03-01,Medellín,1,E,historico,568463819.01
2024-03-01,Bogotá,2,0605,historico,207818559.9
2024-03-01,Bogotá,2,07,historico,1564069896.12
2024-03-01,Bogotá,2,1301,historico,129574309.0
2024-03-01,Bogotá,2,14,historico,173093749.4
2024-03-01,Bogotá,2,15,historico,364490024.0
2024-03-01,Bogotá,2,1725,historico,231346187.0
2024-03-01,Bogotá,2,25,historico,874654024.02
2024-03-01,Bogotá,2,76,historico,146178541.0
2024-03-01,Bogotá,2,80,historico,239738140.25
2024-03-01,Bogotá,2,E,historico,361876013.82
2024-03-01,Cali,3,0605,historico,95693275.2
2024-03-01,Cali,3,07,historico,388333591.75
2024-03-01,Cali,3,1301,historico,112976030.16
2024-03-01,Cali,3,14,historico,46330732.14
2024-03-01,Cali,3,15,historico,129687487.0
2024-03-01,Cali,3,1725,historico,309290227.0
2024-03-01,Cali,3,25,historico,190698337.75
2024-03-01,Cali,3,76,historico,129973387.0
2024-03-01,Cali,3,80,historico,198058365.0
2024-03-01,Cali,3,E,historico,241414622.02
2024-03-01,Barranquilla,4,0605,historico,15774819.0
2024-03-01,Barranquilla,4,07,historico,308085496.0
2024-03-01,Barranquilla,4,1301,historico,28043954.4
2024-03-01,Barranquilla,4,14,historico,20600709.0
2024-03-01,Barranquilla,4,15,historico,112364539.0
2024-03-01,Barranquilla,4,1725,historico,67660053.0
2024-03-01,Barranquilla,4,25,historico,258196279.19
2024-03-01,Barranquilla,4,76,historico,61070972.0
2024-03-01,Barranquilla,4,80,historico,147810305.0
2024-03-01,Barranquilla,4,E,historico,351012274.89
2024-03-01,Cartagena,5,0605,historico,31151563.0
2024-03-01,Cartagena,5,07,historico,468436139.66
2024-03-01,Cartagena,5,1301,historico,47527603.0
2024-03-01,Cartagena,5,14,historico,65150981.0
2024-03-01,Cartagena,5,15,historico,89258391.0
2024-03-01,Cartagena,5,1725,historico,89022251.0
2024-03-01,Cartagena,5,25,historico,172186495.7
2024-03-01,Cartagena,5,76,historico,100973473.0
2024-03-01,Cartagena,5,80,historico,134866030.0
2024-03-01,Cartagena,5,E,historico,101612885.66
2024-04-01,Medellín,1,0605,historico,168591418.0
2024-04-01,Medellín,1,07,historico,1226325038.0
