fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2024-01-01,Medellín,1,0,historico,88468854.85,506.0,308.0
2024-02-01,Medellín,1,0,historico,93004465.28,540.0,362.0
2024-03-01,Medellín,1,0,historico,94657412.58,529.0,347.0
2024-04-01,Medellín,1,0,historico,69885937.79,491.0,341.0
2024-05-01,Medellín,1,0,historico,80997623.5,498.0,336.0
2024-06-01,Medellín,1,0,historico,45904336.6,350.0,256.0
2024-07-01,Medellín,1,0,historico,86430427.03,508.0,338.0
2024-08-01,Medellín,1,0,historico,91021374.7,489.0,292.0
2024-09-01,Medellín,1,0,historico,126877917.3,508.0,338.0
2024-10-01,Medellín,1,0,historico,81396127.66,543.0,351.0
2024-11-01,Medellín,1,0,historico,79292712.47,484.0,316.0
2024-12-01,Medellín,1,0,historico,149439504.54,432.0,308.0
2025-01-01,Medellín,1,0,historico,117858653.01,561.0,336.0
2025-02-01,Medellín,1,0,historico,90732740.7,407.0,249.0
2025-03-01,Medellín,1,0,historico,93530362.92,359.0,219.0
2025-04-01,Medellín,1,0,historico,67148491.09,305.0,205.0
2025-05-01,Medellín,1,0,historico,74531329.87,406.0,248.0
2025-06-01,Medellín,1,0,historico,75877973.6,279.0,192.0
2025-07-01,Medellín,1,0,historico,93261107.86,1189.0,240.0
2025-08-01,Medellín,1,0,historico,126793298.65,290.0,175.0
2025-09-01,Medellín,1,0,historico,69890887.18,283.0,170.0
2025-10-01,Medellín,1,0,historico,84271759.25,332.0,210.0
2025-11-01,Medellín,1,0,historico,29664642.3,215.0,138.0
2025-12-01,Medellín,1,0,historico,47813667.3,192.0,132.0
2026-01-01,Medellín,1,0,historico,49497780.4,242.0,155.0
2026-02-01,Medellín,1,0,historico,44666103.44,264.0,177.0
2026-03-01,Medellín,1,0,historico,21065489.0,123.0,77.0
2026-04-01,Medellín,1,0,historico,52198055.0,204.0,120.0
2024-01-01,Medellín,1,Agricultura,historico,88186038.0,145.0,56.0
2024-02-01,Medellín,1,Agricultura,historico,87791734.0,359.0,66.0
2024-03-01,Medellín,1,Agricultura,historico,146235990.8,462.0,98.0
2024-04-01,Medellín,1,Agricultura,historico,213918783.88,604.0,145.0
2024-05-01,Medellín,1,Agricultura,historico,131069166.0,532.0,103.0
2024-06-01,Medellín,1,Agricultura,historico,166328515.0,609.0,125.0
2024-07-01,Medellín,1,Agricultura,historico,138774175.2,755.0,153.0
2024-08-01,Medellín,1,Agricultura,historico,155460684.56,702.0,157.0
2024-09-01,Medellín,1,Agricultura,historico,379134051.5,1455.0,299.0
2024-10-01,Medellín,1,Agricultura,historico,227472673.0,789.0,219.0
2024-11-01,Medellín,1,Agricultura,historico,256756498.0,1025.0,212.0
2024-12-01,Medellín,1,Agricultura,historico,484454432.0,1298.0,245.0
2025-01-01,Medellín,1,Agricultura,historico,313004685.36,1215.0,301.0
2025-02-01,Medellín,1,Agricultura,historico,379853506.8,1084.0,269.0
2025-03-01,Medellín,1,Agricultura,historico,402807078.5,1269.0,261.0
2025-04-01,Medellín,1,Agricultura,historico,193824514.0,905.0,211.0
2025-05-01,Medellín,1,Agricultura,historico,437844369.44,1594.0,355.0
2025-06-01,Medellín,1,Agricultura,historico,323185530.0,1075.0,290.0
2025-07-01,Medellín,1,Agricultura,historico,358567493.46,1382.0,373.0
2025-08-01,Medellín,1,Agricultura,historico,345505072.3,1291.0,284.0
2025-09-01,Medellín,1,Agricultura,historico,548710328.28,1927.0,354.0
2025-10-01,Medellín,1,Agricultura,historico,469019590.68,1300.0,258.0
2025-11-01,Medellín,1,Agricultura,historico,336220920.74,1449.0,348.0
2025-12-01,Medellín,1,Agricultura,historico,537175717.9,1897.0,467.0
2026-01-01,Medellín,1,Agricultura,historico,264333949.0,1075.0,268.0
2026-02-01,Medellín,1,Agricultura,historico,320617498.2,1046.0,291.0
2026-03-01,Medellín,1,Agricultura,historico,474173339.0,1866.0,335.0
2026-04-01,Medellín,1,Agricultura,historico,417800460.95,1467.0,338.0
2024-01-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,2385276.0,4.0,4.0
2024-02-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,17202796.0,29.0,18.0
2024-03-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,37085470.0,29.0,16.0
2024-04-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,13635941.0,20.0,12.0
2024-05-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,5666698.0,10.0,8.0
2024-06-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,4544685.0,12.0,10.0
2024-07-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,5138148.0,9.0,9.0
2024-08-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,6317770.0,18.0,10.0
2024-09-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,38504458.0,36.0,22.0
2024-10-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,14166941.0,31.0,17.0
2024-11-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,23683591.0,38.0,21.0
2024-12-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,2714643.0,22.0,12.0
2025-01-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,17213272.0,34.0,18.0
2025-02-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,10531962.0,17.0,12.0
2025-03-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,13961014.0,27.0,16.0
2025-04-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,19073115.0,20.0,16.0
2025-05-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,30330139.0,39.0,24.0
2025-06-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,17916936.0,32.0,20.0
2025-07-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,15828709.0,21.0,18.0
2025-08-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,20164047.0,40.0,24.0
2025-09-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,24734358.75,55.0,21.0
2025-10-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,33804180.0,40.0,26.0
2025-11-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,40430027.0,42.0,24.0
2025-12-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,32119329.0,45.0,24.0
2026-01-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,26056185.0,31.0,18.0
2026-02-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,15061839.0,28.0,17.0
2026-03-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,19229865.0,52.0,26.0
2026-04-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,12770738.0,45.0,16.0
2024-01-01,Medellín,1,Caucho y Plasticos,historico,45014011.0,93.0,52.0
2024-02-01,Medellín,1,Caucho y Plasticos,historico,63095607.08,92.0,64.0
2024-03-01,Medellín,1,Caucho y Plasticos,historico,50018986.0,99.0,53.0
2024-04-01,Medellín,1,Caucho y Plasticos,historico,82011362.5,90.0,70.0
2024-05-01,Medellín,1,Caucho y Plasticos,historico,72450797.4,86.0,53.0
2024-06-01,Medellín,1,Caucho y Plasticos,historico,66011323.96,96.0,47.0
2024-07-01,Medellín,1,Caucho y Plasticos,historico,69190446.0,100.0,58.0
2024-08-01,Medellín,1,Caucho y Plasticos,historico,43838505.0,89.0,44.0
2024-09-01,Medellín,1,Caucho y Plasticos,historico,84269211.95,131.0,69.0
2024-10-01,Medellín,1,Caucho y Plasticos,historico,58675066.5,104.0,73.0
2024-11-01,Medellín,1,Caucho y Plasticos,historico,115614150.3,130.0,67.0
2024-12-01,Medellín,1,Caucho y Plasticos,historico,61641143.24,85.0,42.0
2025-01-01,Medellín,1,Caucho y Plasticos,historico,41815183.35,90.0,62.0
2025-02-01,Medellín,1,Caucho y Plasticos,historico,46417936.46,75.0,49.0
2025-03-01,Medellín,1,Caucho y Plasticos,historico,59416546.4,82.0,66.0
2025-04-01,Medellín,1,Caucho y Plasticos,historico,43709324.33,79.0,60.0
2025-05-01,Medellín,1,Caucho y Plasticos,historico,60556671.42,95.0,67.0
2025-06-01,Medellín,1,Caucho y Plasticos,historico,49819959.25,72.0,54.0
2025-07-01,Medellín,1,Caucho y Plasticos,historico,55437325.5,106.0,75.0
2025-08-01,Medellín,1,Caucho y Plasticos,historico,46922958.37,75.0,53.0
2025-09-01,Medellín,1,Caucho y Plasticos,historico,52464155.88,77.0,59.0
2025-10-01,Medellín,1,Caucho y Plasticos,historico,53320667.0,84.0,58.0
2025-11-01,Medellín,1,Caucho y Plasticos,historico,61344676.2,87.0,55.0
2025-12-01,Medellín,1,Caucho y Plasticos,historico,70924776.88,73.0,47.0
2026-01-01,Medellín,1,Caucho y Plasticos,historico,57423958.15,77.0,51.0
2026-02-01,Medellín,1,Caucho y Plasticos,historico,57666501.0,87.0,63.0
2026-03-01,Medellín,1,Caucho y Plasticos,historico,43063172.5,71.0,51.0
2026-04-01,Medellín,1,Caucho y Plasticos,historico,44334788.01,80.0,61.0
2024-01-01,Medellín,1,Comercio,historico,1131018058.34,2337.0,1046.0
2024-02-01,Medellín,1,Comercio,historico,1266042876.74,2516.0,1243.0
2024-03-01,Medellín,1,Comercio,historico,961579864.01,2069.0,1012.0
2024-04-01,Medellín,1,Comercio,historico,1412769594.0,2886.0,1243.0
2024-05-01,Medellín,1,Comercio,historico,1146114511.2,2455.0,1128.0
2024-06-01,Medellín,1,Comercio,historico,1057888452.95,2456.0,1033.0
2024-07-01,Medellín,1,Comercio,historico,1083302033.95,2659.0,1226.0
2024-08-01,Medellín,1,Comercio,historico,1251521573.7,2519.0,1204.0
2024-09-01,Medellín,1,Comercio,historico,1332992716.16,2661.0,1328.0
2024-10-01,Medellín,1,Comercio,historico,1297122157.82,2769.0,1264.0
2024-11-01,Medellín,1,Comercio,historico,1236371643.1,2288.0,1073.0
2024-12-01,Medellín,1,Comercio,historico,1051978312.79,2148.0,987.0
2025-01-01,Medellín,1,Comercio,historico,1216270056.62,2346.0,1049.0
2025-02-01,Medellín,1,Comercio,historico,1587103593.83,2984.0,1318.0
2025-03-01,Medellín,1,Comercio,historico,1374982595.34,2843.0,1327.0
2025-04-01,Medellín,1,Comercio,historico,1391665074.16,2926.0,1318.0
2025-05-01,Medellín,1,Comercio,historico,1439930264.08,3175.0,1431.0
2025-06-01,Medellín,1,Comercio,historico,1368081642.19,2854.0,1279.0
2025-07-01,Medellín,1,Comercio,historico,1828382637.54,3823.0,1666.0
2025-08-01,Medellín,1,Comercio,historico,1486027218.86,3027.0,1240.0
2025-09-01,Medellín,1,Comercio,historico,1678365314.19,3580.0,1518.0
2025-10-01,Medellín,1,Comercio,historico,1862022773.57,3758.0,1492.0
2025-11-01,Medellín,1,Comercio,historico,1527382145.68,2879.0,1261.0
2025-12-01,Medellín,1,Comercio,historico,1595286490.42,2889.0,1249.0
2026-01-01,Medellín,1,Comercio,historico,1820157200.65,3011.0,1191.0
2026-02-01,Medellín,1,Comercio,historico,1750843575.5,3599.0,1537.0
2026-03-01,Medellín,1,Comercio,historico,1809695979.49,3490.0,1489.0
2026-04-01,Medellín,1,Comercio,historico,1997867587.68,3325.0,1426.0
2024-01-01,Medellín,1,Construction,historico,289788882.04,468.0,167.0
2024-02-01,Medellín,1,Construction,historico,565763614.58,1000.0,259.0
2024-03-01,Medellín,1,Construction,historico,434868989.71,888.0,254.0
2024-04-01,Medellín,1,Construction,historico,582970328.0,864.0,245.0
2024-05-01,Medellín,1,Construction,historico,775529521.9,831.0,253.0
2024-06-01,Medellín,1,Construction,historico,381820875.4,483.0,192.0
2024-07-01,Medellín,1,Construction,historico,476515309.2,863.0,269.0
2024-08-01,Medellín,1,Construction,historico,420628178.27,713.0,210.0
2024-09-01,Medellín,1,Construction,historico,275227552.4,469.0,198.0
2024-10-01,Medellín,1,Construction,historico,403815238.7,665.0,234.0
2024-11-01,Medellín,1,Construction,historico,365779771.99,689.0,199.0
2024-12-01,Medellín,1,Construction,historico,214131475.11,484.0,191.0
2025-01-01,Medellín,1,Construction,historico,275836619.03,468.0,176.0
2025-02-01,Medellín,1,Construction,historico,851894742.41,593.0,205.0
2025-03-01,Medellín,1,Construction,historico,646886684.36,563.0,185.0
2025-04-01,Medellín,1,Construction,historico,658705700.01,738.0,237.0
2025-05-01,Medellín,1,Construction,historico,546937399.04,715.0,248.0
2025-06-01,Medellín,1,Construction,historico,495634509.46,719.0,265.0
2025-07-01,Medellín,1,Construction,historico,443570897.99,911.0,309.0
2025-08-01,Medellín,1,Construction,historico,437931893.0,797.0,246.0
2025-09-01,Medellín,1,Construction,historico,570460058.76,670.0,274.0
2025-10-01,Medellín,1,Construction,historico,350279701.95,634.0,250.0
2025-11-01,Medellín,1,Construction,historico,528455187.45,776.0,258.0
2025-12-01,Medellín,1,Construction,historico,371648009.32,823.0,282.0
2026-01-01,Medellín,1,Construction,historico,400036262.94,665.0,210.0
2026-02-01,Medellín,1,Construction,historico,406418631.0,748.0,260.0
2026-03-01,Medellín,1,Construction,historico,366857231.2,624.0,217.0
2026-04-01,Medellín,1,Construction,historico,570222097.23,752.0,262.0
2024-01-01,Medellín,1,Education,historico,903300.0,3.0,2.0
2024-02-01,Medellín,1,Education,historico,1760750.0,6.0,4.0
2024-03-01,Medellín,1,Education,historico,76000.0,1.0,1.0
2024-04-01,Medellín,1,Education,historico,8699675.0,6.0,5.0
2024-05-01,Medellín,1,Education,historico,623400.0,2.0,2.0
2024-06-01,Medellín,1,Education,historico,35500.0,1.0,1.0
2024-07-01,Medellín,1,Education,historico,186505.0,2.0,2.0
2024-08-01,Medellín,1,Education,historico,4409470.0,7.0,2.0
2024-09-01,Medellín,1,Education,historico,1730000.0,2.0,1.0
